structure,binding_energy
1CN3_SV40_VP1,0.0
1SID_SV40_VP1_pentamer,0.0
1SIE_SV40_VP1_v2,0.0
1VPS_Murine_VP1,0.0
3BWR_JC_VP1,-4.0
3S7V_LPV_VP1,-5.1
4FMG_Merkel_VP1,-4.7
4MJ0_BK_VP1,-3.6
4MJN_BK_VP1_v2,0.0
4POF_WU_VP1,-5.6
4POT_KI_VP1,-4.2
4X0V_Hamster_VP1,0.0
